issue_date,target_report_date,update_id,checkpoint_id
2022-05-31,2022-06-07,U01,U01
2022-06-01,2022-06-08,U01,U01
2022-06-02,2022-06-09,U01,U01
2022-06-03,2022-06-10,U01,U01
2022-06-04,2022-06-11,U01,U01
2022-06-05,2022-06-12,U01,U01
2022-06-06,2022-06-13,U01,U01
2022-06-07,2022-06-14,U01,U01
2022-06-08,2022-06-15,U01,U01
2022-06-09,2022-06-16,U01,U01
2022-06-10,2022-06-17,U01,U01
2022-06-11,2022-06-18,U01,U01
2022-06-12,2022-06-19,U01,U01
2022-06-13,2022-06-20,U01,U01
2022-06-14,2022-06-21,U01,U01
2022-06-15,2022-06-22,U01,U01
2022-06-16,2022-06-23,U01,U01
2022-06-17,2022-06-24,U01,U01
2022-06-18,2022-06-25,U01,U01
2022-06-19,2022-06-26,U01,U01
2022-06-20,2022-06-27,U01,U01
2022-06-21,2022-06-28,U01,U01
2022-06-22,2022-06-29,U01,U01
2022-06-23,2022-06-30,U01,U01
2022-06-24,2022-07-01,U01,U01
2022-06-25,2022-07-02,U01,U01
2022-06-26,2022-07-03,U01,U01
2022-06-27,2022-07-04,U01,U01
2022-06-28,2022-07-05,U02,U02
2022-06-29,2022-07-06,U02,U02
2022-06-30,2022-07-07,U02,U02
2022-07-01,2022-07-08,U02,U02
2022-07-02,2022-07-09,U02,U02
2022-07-03,2022-07-10,U02,U02
2022-07-04,2022-07-11,U02,U02
2022-07-05,2022-07-12,U02,U02
2022-07-06,2022-07-13,U02,U02
2022-07-07,2022-07-14,U02,U02
2022-07-08,2022-07-15,U02,U02
2022-07-09,2022-07-16,U02,U02
2022-07-10,2022-07-17,U02,U02
2022-07-11,2022-07-18,U02,U02
2022-07-12,2022-07-19,U02,U02
2022-07-13,2022-07-20,U02,U02
2022-07-14,2022-07-21,U02,U02
2022-07-15,2022-07-22,U02,U02
2022-07-16,2022-07-23,U02,U02
2022-07-17,2022-07-24,U02,U02
2022-07-18,2022-07-25,U02,U02
2022-07-19,2022-07-26,U02,U02
2022-07-20,2022-07-27,U02,U02
2022-07-21,2022-07-28,U02,U02
2022-07-22,2022-07-29,U02,U02
2022-07-23,2022-07-30,U02,U02
2022-07-24,2022-07-31,U02,U02
2022-07-25,2022-08-01,U02,U02
2022-07-26,2022-08-02,U03,U03
2022-07-27,2022-08-03,U03,U03
2022-07-28,2022-08-04,U03,U03
2022-07-29,2022-08-05,U03,U03
2022-07-30,2022-08-06,U03,U03
2022-07-31,2022-08-07,U03,U03
2022-08-01,2022-08-08,U03,U03
2022-08-02,2022-08-09,U03,U03
2022-08-03,2022-08-10,U03,U03
2022-08-04,2022-08-11,U03,U03
2022-08-05,2022-08-12,U03,U03
2022-08-06,2022-08-13,U03,U03
2022-08-07,2022-08-14,U03,U03
2022-08-08,2022-08-15,U03,U03
2022-08-09,2022-08-16,U03,U03
2022-08-10,2022-08-17,U03,U03
2022-08-11,2022-08-18,U03,U03
2022-08-12,2022-08-19,U03,U03
2022-08-13,2022-08-20,U03,U03
2022-08-14,2022-08-21,U03,U03
2022-08-15,2022-08-22,U03,U03
2022-08-16,2022-08-23,U03,U03
2022-08-17,2022-08-24,U03,U03
2022-08-18,2022-08-25,U03,U03
2022-08-19,2022-08-26,U03,U03
2022-08-20,2022-08-27,U03,U03
2022-08-21,2022-08-28,U03,U03
2022-08-22,2022-08-29,U03,U03
2022-08-23,2022-08-30,U04,U04
2022-08-24,2022-08-31,U04,U04
2022-08-25,2022-09-01,U04,U04
2022-08-26,2022-09-02,U04,U04
2022-08-27,2022-09-03,U04,U04
2022-08-28,2022-09-04,U04,U04
2022-08-29,2022-09-05,U04,U04
2022-08-30,2022-09-06,U04,U04
2022-08-31,2022-09-07,U04,U04
2022-09-01,2022-09-08,U04,U04
2022-09-02,2022-09-09,U04,U04
2022-09-03,2022-09-10,U04,U04
2022-09-04,2022-09-11,U04,U04
2022-09-05,2022-09-12,U04,U04
2022-09-06,2022-09-13,U04,U04
2022-09-07,2022-09-14,U04,U04
2022-09-08,2022-09-15,U04,U04
2022-09-09,2022-09-16,U04,U04
2022-09-10,2022-09-17,U04,U04
2022-09-11,2022-09-18,U04,U04
2022-09-12,2022-09-19,U04,U04
2022-09-13,2022-09-20,U04,U04
2022-09-14,2022-09-21,U04,U04
2022-09-15,2022-09-22,U04,U04
2022-09-16,2022-09-23,U04,U04
2022-09-17,2022-09-24,U04,U04
2022-09-18,2022-09-25,U04,U04
2022-09-19,2022-09-26,U04,U04
2022-09-20,2022-09-27,U05,U05
2022-09-21,2022-09-28,U05,U05
2022-09-22,2022-09-29,U05,U05
2022-09-23,2022-09-30,U05,U05
2022-09-24,2022-10-01,U05,U05
2022-09-25,2022-10-02,U05,U05
2022-09-26,2022-10-03,U05,U05
2022-09-27,2022-10-04,U05,U05
2022-09-28,2022-10-05,U05,U05
2022-09-29,2022-10-06,U05,U05
2022-09-30,2022-10-07,U05,U05
2022-10-01,2022-10-08,U05,U05
2022-10-02,2022-10-09,U05,U05
2022-10-03,2022-10-10,U05,U05
2022-10-04,2022-10-11,U05,U05
2022-10-05,2022-10-12,U05,U05
2022-10-06,2022-10-13,U05,U05
2022-10-07,2022-10-14,U05,U05
2022-10-08,2022-10-15,U05,U05
2022-10-09,2022-10-16,U05,U05
2022-10-10,2022-10-17,U05,U05
2022-10-11,2022-10-18,U05,U05
2022-10-12,2022-10-19,U05,U05
2022-10-13,2022-10-20,U05,U05
2022-10-14,2022-10-21,U05,U05
2022-10-15,2022-10-22,U05,U05
2022-10-16,2022-10-23,U05,U05
2022-10-17,2022-10-24,U05,U05
2022-10-18,2022-10-25,U06,U06
2022-10-19,2022-10-26,U06,U06
2022-10-20,2022-10-27,U06,U06
2022-10-21,2022-10-28,U06,U06
2022-10-22,2022-10-29,U06,U06
2022-10-23,2022-10-30,U06,U06
2022-10-24,2022-10-31,U06,U06
2022-10-25,2022-11-01,U06,U06
2022-10-26,2022-11-02,U06,U06
2022-10-27,2022-11-03,U06,U06
2022-10-28,2022-11-04,U06,U06
2022-10-29,2022-11-05,U06,U06
2022-10-30,2022-11-06,U06,U06
2022-10-31,2022-11-07,U06,U06
2022-11-01,2022-11-08,U06,U06
2022-11-02,2022-11-09,U06,U06
2022-11-03,2022-11-10,U06,U06
2022-11-04,2022-11-11,U06,U06
2022-11-05,2022-11-12,U06,U06
2022-11-06,2022-11-13,U06,U06
2022-11-07,2022-11-14,U06,U06
2022-11-08,2022-11-15,U06,U06
2022-11-09,2022-11-16,U06,U06
2022-11-10,2022-11-17,U06,U06
2022-11-11,2022-11-18,U06,U06
2022-11-12,2022-11-19,U06,U06
2022-11-13,2022-11-20,U06,U06
2022-11-14,2022-11-21,U06,U06
2022-11-15,2022-11-22,U07,U07
2022-11-16,2022-11-23,U07,U07
2022-11-17,2022-11-24,U07,U07
2022-11-18,2022-11-25,U07,U07
2022-11-19,2022-11-26,U07,U07
2022-11-20,2022-11-27,U07,U07
2022-11-21,2022-11-28,U07,U07
2022-11-22,2022-11-29,U07,U07
2022-11-23,2022-11-30,U07,U07
2022-11-24,2022-12-01,U07,U07
2022-11-25,2022-12-02,U07,U07
