iz_code,site_id,mode,travel_time_min
S02001576,GP_70075,drive,20.75
S02001576,GP_70094,drive,27.06
S02001576,GP_70107,drive,23.38
S02001576,GP_70126,drive,36.92
S02001576,GP_70131,drive,14.13
S02001576,GP_70164,drive,30.75
S02001576,GP_70179,drive,31.32
S02001576,GP_70198,drive,33.44
S02001576,GP_70215,drive,32.5
S02001576,GP_70220,drive,19.63
S02001576,GP_70234,drive,32.22
S02001576,GP_70253,drive,17.41
S02001576,GP_70268,drive,29.35
S02001576,GP_70272,drive,30.93
S02001576,GP_70291,drive,29.54
S02001576,GP_70319,drive,23.73
S02001576,GP_70323,drive,23.07
S02001576,GP_70361,drive,19.83
S02001576,GP_70376,drive,28.24
S02001576,GP_70381,drive,27.33
S02001576,GP_70408,drive,27.06
S02001576,GP_70412,drive,24.99
S02001576,GP_70427,drive,36.92
S02001576,GP_70451,drive,24.68
S02001576,GP_70470,drive,28.08
S02001576,GP_70499,drive,28.79
S02001576,GP_70501,drive,22.87
S02001576,GP_70516,drive,27.37
S02001576,GP_70521,drive,28.79
S02001576,GP_70535,drive,26.94
S02001576,GP_70569,drive,33.48
S02001576,GP_70573,drive,31.04
S02001576,GP_70588,drive,31.87
S02001576,GP_70592,drive,26.37
S02001576,GP_70605,drive,36.34
S02001576,GP_70610,drive,16.79
S02001576,GP_70639,drive,28.11
S02001576,GP_70658,drive,32.71
S02001576,GP_70662,drive,30.13
S02001576,GP_70709,drive,26.55
S02001576,GP_70747,drive,32.12
S02001576,GP_70766,drive,25.75
S02001576,GP_70785,drive,33.67
S02001576,GP_70790,drive,22.71
S02001576,GP_70841,drive,27.7
S02001576,GP_70893,drive,28.11
S02001576,GP_70906,drive,15.21
S02001576,GP_70911,drive,15.21
S02001576,GP_70925,drive,10.26
S02001576,GP_70930,drive,5.73
S02001576,GP_70963,drive,28.42
S02001576,GP_70978,drive,14.26
S02001576,GP_70982,drive,31.91
S02001576,GP_70997,drive,18.99
S02001576,GP_71011,drive,23.26
S02001576,GP_71025,drive,22.14
S02001576,GP_71082,drive,20.79
S02001576,GP_71097,drive,17.4
S02001576,GP_71114,drive,33.27
S02001576,GP_71129,drive,27.36
S02001576,GP_71171,drive,23.08
S02001576,GP_71222,drive,23.38
S02001576,GP_71326,drive,28.13
S02001576,GP_71364,drive,32.75
S02001576,GP_71379,drive,27.91
S02001576,GP_71398,drive,32.42
S02001576,GP_71401,drive,24.81
S02001576,GP_71434,drive,23.19
S02001576,GP_71449,drive,22.62
S02001576,PH_2023,drive,28.28
S02001576,PH_2026,drive,20.0
S02001576,PH_2027,drive,31.3
S02001576,PH_2028,drive,36.5
S02001576,PH_2029,drive,25.92
S02001576,PH_2030,drive,22.95
S02001576,PH_2031,drive,27.54
S02001576,PH_2032,drive,20.7
S02001576,PH_2033,drive,24.31
S02001576,PH_2105,drive,26.99
S02001576,PH_2186,drive,14.06
S02001576,PH_2225,drive,5.73
S02001576,PH_2229,drive,30.8
S02001576,PH_2231,drive,28.21
S02001576,PH_2232,drive,31.26
S02001576,PH_2243,drive,17.9
S02001576,PH_2247,drive,26.37
S02001576,PH_2254,drive,24.73
S02001576,PH_2268,drive,9.47
S02001576,PH_2304,drive,31.32
S02001576,PH_2320,drive,18.94
S02001576,PH_2332,drive,27.52
S02001576,PH_2335,drive,21.08
S02001576,PH_2338,drive,28.53
S02001576,PH_2339,drive,22.89
S02001576,PH_2343,drive,27.87
S02001576,PH_2344,drive,22.17
S02001576,PH_2358,drive,23.14
S02001576,PH_2360,drive,22.18
S02001576,PH_2361,drive,29.4
S02001576,PH_2362,drive,26.69
S02001576,PH_2363,drive,30.75
S02001576,PH_2365,drive,30.67
S02001576,PH_2368,drive,14.91
S02001576,PH_2379,drive,37.66
S02001576,PH_2380,drive,27.34
S02001576,PH_2381,drive,26.99
S02001576,PH_2383,drive,22.95
S02001576,PH_2396,drive,36.26
S02001576,PH_2397,drive,22.05
S02001576,PH_2398,drive,26.99
S02001576,PH_2399,drive,32.18
S02001576,PH_2405,drive,22.79
S02001576,PH_2413,drive,38.86
S02001576,PH_2417,drive,20.18
S02001576,PH_2438,drive,28.57
S02001576,PH_2441,drive,36.23
S02001576,PH_2442,drive,24.21
S02001576,PH_2444,drive,36.84
S02001576,PH_2449,drive,31.99
S02001576,PH_2453,drive,25.83
S02001576,PH_2455,drive,31.22
S02001576,PH_2456,drive,30.57
S02001576,PH_2458,drive,34.06
S02001576,PH_2465,drive,23.1
S02001576,PH_2470,drive,32.9
S02001576,PH_2471,drive,33.91
S02001576,PH_2472,drive,30.88
S02001576,PH_2473,drive,31.49
S02001576,PH_2475,drive,19.01
S02001576,PH_2476,drive,26.9
S02001576,PH_2478,drive,22.95
S02001576,PH_2480,drive,25.52
S02001576,PH_2481,drive,24.73
S02001576,PH_2490,drive,27.31
S02001576,PH_2495,drive,27.77
S02001576,PH_2496,drive,26.48
S02001576,PH_2497,drive,27.07
S02001576,PH_2500,drive,22.23
S02001576,PH_2502,drive,7.06
S02001576,PH_2503,drive,15.55
S02001576,PH_2507,drive,30.53
S02001576,PH_2508,drive,22.38
S02001576,PH_2509,drive,20.67
S02001576,PH_2510,drive,24.49
S02001576,PH_2511,drive,18.43
S02001576,PH_2514,drive,22.55
S02001576,PH_2516,drive,23.9
S02001576,PH_2517,drive,26.94
S02001576,PH_2522,drive,18.76
S02001576,PH_2526,drive,28.56
S02001576,PH_2528,drive,31.51
S02001576,PH_2531,drive,29.83
S02001576,PH_2532,drive,29.89
S02001576,PH_2533,drive,18.7
S02001576,PH_2538,drive,20.99
S02001576,PH_2539,drive,24.57
S02001576,PH_2545,drive,27.69
S02001576,PH_2549,drive,20.67
S02001576,PH_2550,drive,32.44
S02001576,PH_2551,drive,32.47
S02001576,PH_2552,drive,17.77
S02001576,PH_2553,drive,31.98
S02001576,PH_2555,drive,31.28
S02001576,PH_2556,drive,30.33
S02001576,PH_2557,drive,37.35
